Alpha Code,Common Name,Genus,Species
AMCA,California Tiger Salamander,Ambystoma,californiense
ANBO,California Toad,Anaxyrus,boreas
ANBO,Western Toad,Anaxyrus,boreas
ANLU,Arboreal Salamander,Aneides,lugubris
ANNI,Santa Cruz Black Salamander,Aneides,niger
BAAT,California Slender Salamander,Batrachoseps,attenuatus
DIEN,California Giant Salamander,Dicamptodon,ensatus
ENES,Ensatina,Ensatina,eschscholtzii
ENES,Yellow-eyed Ensatina,Ensatina,eschscholtzii
HYCI,Green Treefrog,Hyla,cinerea
LICA,American Bullfrog,Lithobates,catesbeianus
NONE,None,None,none
OSSE,Cuban Tree Frog,Osteopilus,septentrionalis
PSSI,Sierran Tree Frog,Pseudacris,sierra
RABO,Foothill Yellow-legged Frog,Rana,boylii
RADR,California Red-legged Frog,Rana,draytonii
TAGR,Rough-skinned Newt,Taricha,granulosa
TARI,Red-bellied Newt,Taricha,rivularis
TATO,California Newt,Taricha,torosa
TAUN,Pacific Newts,Taricha,unknown