Common Name,Alpha Code,Genus,Species
House Cricket,ACDO,Acheta,domesticus
California Sister Butterfly,ADCA,Adelpha,californica
Poison Hemlock Moth,AGAL,Agonopterix,alstroemeriana
Common Snakefly,AGUN,Agulla,unknown
Oblique Streaktail,ALOB,Allograpta,obliqua
Pictured Jerusalem Cricket,AMPI,Ammopelmatus,pictus
European Woolcarder Bee,ANMA,Anthidium,manicatum
Maritime Earwig,ANMA,Anisolabis,maritima
Varied Carpet Beetle,ANVE,Anthrenus,verbasci
Melon Aphid,APGO,Aphis,gossypii
Western Honey Bee,APME,Apis,mellifera
Oleander Aphid,APNE,Aphis,nerii
Ornate Tiger Moth,APOR,Apantesis,ornata
Yellow Garden Spider,ARAU,Argiope,aurantia
American Dewdrop Spider,AREL,Argyrodes,elevatus
Painted Tiger Moth,ARPI,Arachnis,picta
Banded Garden Spider,ARTR,Argiope,trifasciata
Common Pill Woodlouse,ARVU,Armadillidium,vulgare
Bagrada Bug,BAHI,Bagrada,hilaris
Grey House Spider,BALO,Badumna,longinqua
German Cockroach,BLGE,Blattella,germanica
Oriental Cockroach,BLOR,Blatta,orientalis
Western Boxelder Bug,BORU,Boisea,rubrolineata
Yellow-faced Bumble Bee,BOVO,Bombus,vosnesenskii
Cabbage Aphid,BRBR,Brevicoryne,brassicae
Western Pygmy-Blue Butterfly,BREX,Brephidium,exilis
Common Checkered-Skipper Butterfly,BUCO,Burnsius,communis
California Camel Cricket,CECA,Ceuthophilus,californianus
Echo Azure Butterfly,CEEC,Celastrina,echo
Steel-blue Cricket-hunter Wasp,CHAE,Chlorion,aerarium
Bronze Beetle,CHBA,Chrysolina,bankii
Unknown Green Lacewing,CHUN,Chrysoperla,unknown
Unknown Sac Spider,CHUN,Cheiracanthium,unknown
Wetsalts Tiger Beetle,CIHA,Cicindela,haemorrhagica
California Lady Beetle,COCA,Coccinella,californica
Common Ringlet Butterfly,COCA,Coenonympha,california
Hedge Nettle Stink Bug,COCO,Cosmopepla,conspicillaris
California Broad-necked Darkling Beetle,CODI,Coelocnemis,dilaticollis
Orange Sulphur Butterfly,COEU,Colias,eurytheme
Figeater Beetle,COMU,Cotinis,mutabilis
Seven-spotted Lady Beetle,COSE,Coccinella,septempunctata
Pacific Three-banded Lady Beetle,COTR,Coccinella,trifasciata
Long-tailed Silverfish,CTLO,Ctenolepisma,longicaudatum
Western Polished Lady Beetle,CYPO,Cycloneda,polita
Spotless Lady Beetle,CYSA,Cycloneda,sanguinea
Night-hunting Woodland Spider,CYSI,Cybaeus,signifer
Unknown Trashline Orbweaver,CYUN,Cyclosa,unknown
Pacific Velvet Ant,DAAU,Dasymutilla,aureola
Monarch Butterfly,DAPL,Danaus,plexippus
Pacific Coast Tick,DEOC,Dermacentor,occidentalis
Western Dog Tick,DESI,Dermacentor,similis
Spotted Cucumber Beetle,DIUN,Diabrotica,undecimpunctata
Gulf Fritillary Butterfly,DIVA,Dione,vanillae
Woodlouse Spider,DYCR,Dysdera,crocata
Armored Stink Beetle,ELAR,Eleodes,armata
California Glowworm,ELCA,Ellychnia,californica
Woolly Darkling Beetle,ELOS,Eleodes,osculans
Morning-glory Plume Moth,EMMO,Emmelina,monodactyla
Eurasian Drone Fly,ERAR,Eristalis,arbustorum
Salt Marsh Moth,ESAC,Estigmene,acrea
Ring-legged Earwig,EUAN,Euborellia,annulipes
Variable Checkerspot Butterfly,EUCH,Euphydryas,chalcedona
European Earwig,FOAU,Forficula,auricularia
Bowl-and-doily Spider,FRPY,Frontinella,pyramitela
Coyote Brush Stem Gall Moth,GNBA,Gnorimoschema,baccharisella
Variable Field Cricket,GRLI,Gryllus,lineaticeps
Asian Lady Beetle,HAAX,Harmonia,axyridis
"Brown Marmorated Stink Bug ",HAHA,Halyomorpha,halys
Tripartite Sweat Bee,HATR,Halictus,tripartitus
Black Soldier Fly,HEIL,Hermetia,illucens
Convergent Lady Beetle,HICO,Hippodamia,convergens
Marbled Cellar Spider,HOPL,Holocnemus,pluchei
White-lined Sphinx,HYLI,Hyles,lineata
Fiery Skipper Butterfly,HYPH,Hylephila,phyleus
Acmon Blue Butterfly,ICAC,Icaricia,acmon
Western Drywood Termite,INMI,Incisitermes,minor
Mediterranean Mantis,IROR,Iris,oratoria
Western Black-legged Tick,IXPA,Ixodes,pacificus
Red-shouldered Bug,JAHA,"Jadera ",haematoloma
Gray Buckeye Butterfly,JUGR,Junonia,grisea
Cosmopolitan Ground Beetle,LACO,Laemostenus,complanatus
Brown Widow,LAGE,Latrodectus,geometricus
Western Black Widow,LAHE,Latrodectus,hesperus
California Tiger Moth,LECA,Leptarctia,californiae
Argentine Ant,LIHU,Linepithema,humile
Listrus Beetle,LIUN,Listrus,unknown
Umber Skipper Butterfly,LOME,Lon,melane
Lupine Aphid,MAAL,Macrosiphum,albifrons
European Mantis,MARE,Mantis,religiosa
Rose Aphid,MARO,Macrosiphum,rosae
Mexican Social Spider,MAUN,Mallos,unknown
South American Toothed Hacklemesh Weaver,MESI,Metaltella,simoni
Goldenrod Crab Spider,MIVA,Misumena,vatia
Harlequin Bug,MUHI,Murgantia,histrionica
West Coast Ant Cricket,MYOR,Myrmecophilus,oregonensis
Sierra Dome Spider,NELI,Neriene,litigiosa
None,NONO,None,None
Mourning Cloak Butterfly,NYAN,Nymphalis,antiopa
California Tortoiseshell Butterfly,NYCA,Nymphalis,californica
Devil's Coach Horse Beetle,OCOL,Ocypus,olens
Black Webspinner,OLNI,Oligotoma,nigra
Ashy Gray Lady Beetle,OLV-,Olla,v-nigrum
Western Tussock Moth,ORVE,Orgyia,vetusta
Striped Lynx Spider,OXSA,Oxyopes,salticus
Western Lynx Spider,OXSC,Oxyopes,scalaris
Common House Spider,PATE,Parasteatoda,tepidariorum
Anise Swallowtail Butterfly,PAZE,Papilio,zelicaon
American Cockroach,PEAM,Periplaneta,americana
Turkestan Cockroach,PELA,Periplaneta,lateralis
Lesser Green Lynx Spider,PELO,Peucetia,longipalpis
Jumping Bristletail,PESA,Pedetontus,saltator
Bold Jumping Spider,PHAU,Phidippus,audax
Cabbage Flea Beetle,PHCR,Phyllotreta,cruciferae
Johnson's Jumping Spider,PHJO,Phidippus,johnsoni
Mylitta Crescent Butterfly,PHMY,Phyciodes,mylitta
Mediterranean Katydid,PHNA,Phaneroptera,nana
Long-bodied Cellar Spider,PHPH,Pholcus,phalangioides
Small White Butterfly,PIRA,Pieris,rapae
European Paper Wasp,PODO,Polistes,dominula
Swift Woodlouse,POLA,Porcellio,laevis
Checkered White Butterfly,POPR,Pontia,protodice
Downy Leather-winged Beetle,POPR,Podabrus,pruinosus
California Root Borer,PRCA,Prionus,californicus
American Winter Ant,PRIM,Prenolepis,imparis
Edwards' Glassy-wing Moth,PSED,Pseudohemihyalea,edwardsii
Western Subterranean Termite,REHE,Reticulitermes,hesperus
Common Flesh Fly,SAUN,Sarcophaga,unknown
Mouse Spider,SCBL,Scotophaeus,blackwalli
Golden Dung Fly,SCST,Scathophaga,stercoraria
False Black Widow,STGR,Steatoda,grossa
Gray Hairstreak Butterfly,STME,Strymon,melinus
"Noble False Widow ",STNO,Steatoda,nobilis
Triangulate Combfoot,STTR,Steatoda,triangulosa
Brown-banded Cockroach,SULO,Supella,longipalpa
Broken-backed Bug,TAAP,Taylorilygus,apicalis
Odorous House Ant,TASE,Tapinoma,sessile
Immigrant Pavement Ant,TEIM,Tetramorium,immigrans
Chinese Mantis,TESI,Tenodera,sinensis
Red-shouldered Stink Bug,THCU,Thyanta,custator
Oblong Running Spider,TIOB,Tibellus,oblongus
Rocky Canyon Spider,TIUN,Titiotus,unknown
Coyote Brush Leaf Beetle,TRFL,Trirhabda,flavolimbata
Bull-headed Sac Spider,TRPA,Trachelas,pacificus
Pallid-winged Grasshopper,TRPA,Trimerotropis,pallidipennis
Australian Tortoise Beetle,TRSL,Trachymela,sloanei
Globular Springtails,UNUN,Unknown,unknown
Unknown Ants,UNUN,Unknown,unknown
Unknown Arthropod,UNUN,Unknown,unknown
Unknown Bee,UNUN,Unknown,unknown
Unknown Bug,UNUN,Unknown,unknown
Unknown Caterpillar,UNUN,Unknown,unknown
Unknown Cellar Spider,UNUN,Unknown,unknown
Unknown Centipede,UNUN,Unknown,unknown
Unknown Click Beetle,UNUN,Unknown,unknown
Unknown Cockroach,UNUN,Unknown,unknown
Unknown Crab Spider,UNUN,Unknown,unknown
Unknown Cricket,UNUN,Unknown,unknown
Unknown Darkling Beetle,UNUN,Unknown,unknown
Unknown Earwig,UNUN,Unknown,unknown
Unknown Flower Beetle,UNUN,Unknown,unknown
Unknown Fly,UNUN,Unknown,unknown
Unknown Funnel Weaver Spider,UNUN,Unknown,unknown
Unknown Fungus Gnat,UNUN,Unknown,unknown
Unknown Grasshopper,UNUN,Unknown,unknown
Unknown Ground Beetle,UNUN,Unknown,unknown
Unknown Ground Spider,UNUN,Unknown,unknown
Unknown Harvestmen,UNUN,Unknown,unknown
Unknown Hover Fly,UNUN,Unknown,unknown
Unknown Jumping Spider,UNUN,Unknown,unknown
Unknown Lady Beetle,UNUN,Unknown,unknown
Unknown Landhopper,UNUN,Unknown,unknown
Unknown Leaf Beetle,UNUN,Unknown,unknown
Unknown Millipede,UNUN,Unknown,unknown
Unknown Mite,UNUN,Unknown,unknown
Unknown Moth,UNUN,Unknown,unknown
Unknown Orbweaver,UNUN,Unknown,unknown
Unknown Plant Bug,UNUN,Unknown,unknown
Unknown Plump Springtail,UNUN,Unknown,unknown
Unknown Rove Beetle,UNUN,Unknown,unknown
Unknown Sheetweb spider,UNUN,Unknown,unknown
Unknown Silverfish,UNUN,Unknown,unknown
Unknown Slender Springtail,UNUN,Unknown,unknown
Unknown Soldier Beetle,UNUN,Unknown,unknown
Unknown Sow Bug,UNUN,Unknown,unknown
Unknown Spider,UNUN,Unknown,unknown
Unknown Thrip,UNUN,Unknown,unknown
Unknown Tick,UNUN,Unknown,unknown
Unknown Silken Fungus Beetle,UNUN,Unknown,unknown
Unknown Wolf Spider,UNUN,Unknown,unknown
Genista Broom Moth,URRE,Uresiphita,reversalis
Thistle aphid,URUN,Uroleucon,unknown
West Coast Lady Butterfly,VAAN,Vanessa,annabella
Red Admiral Butterfly,VAAT,Vanessa,atalanta
Painted Lady Butterfly,VACA,Vanessa,cardui
Andre's Harvester Ant,VEAN,Veromessor,andrei
Western Yellowjacket,VEPE,Vespula,pensylvanica
Mediterranean Seed Bug,XASA,Xanthochilus,saturnius
Western Banded Glowworm,ZAIN,Zarhipis,integripennis
Pacific Dampwood Termite,ZOAN,Zootermopsis,angusticollis
Mediterranean Spiny False Wolf Spider,ZOSP,Zoropsis,spinimana
Silver-sided Sector Spider,ZYX-,Zygiella,x-notata
Western Paper Wasp,MIFL,Mischocyttarus,flavitarsis
California Oak Moth,PHCA,Phryganidia,californica
Pumpkin Gall Wasp,DRMI,Dryocosmus,minusculus
Gray Buckeye,JUGR,Junonia,grisea
F-winged Barklouse,GRCR,Graphopsocus,cruciatus
Western Pygmy-Blue,BREX,Brephidium,exilis
Oreas Comma,POOR,Polygonia,oreas
California Pink Glowworm,MIAN,Microphotus,angustus
Bay Checkerspot,EUED,Euphydryas,editha
Valley Carpenter Bee,XYSO,Xylocopa,sonorina
Large Marble,EUAU,Euchloe,ausonides
Evans's Running Crab Spider,EBEV,Ebo,evansae
Tailed Copper,THAR,Tharsalea,arota
Field Skipper,ATCA,Atalopedes,campestris
Lizard Spider,RHFI,Rhomphaea,fictilium
Monarch,DAPL,Danaus,plexippus
Western Forest Scorpion,URMO,Uroctonus,mordax
Meadow Flies,CH#E,Chrysotoxum,unknown
Wandering Glider,PAFL,Pantala,flavescens
Lotus Hairstreak,CADU,Callophrys,dumetorum
Foothill Carpenter Bee,XYTA,Xylocopa,tabaniformis
White-headed Bee Fly,BOAL,Bombylius,albicapillus
Mexican Tiger Moth,APPR,Apantesis,proxima
Gulf Fritillary,DIVA,Dione,vanillae
Anise Swallowtail,PAZE,Papilio,zelicaon
Large Yellow Underwing,NOPR,Noctua,pronuba
Tule Bluet,ENCA,Enallagma,carunculatum
Cabbage White,PIRA,Pieris,rapae
California Lady Beetle,COCA,Coccinella,californica
Noble False Widow,STNO,Steatoda,nobilis
Ladies and Related Admirals,VA#E,Vanessa,unknown
Disc Gall Wasp,FEPA,Feron,parmula
Club Gall Wasp,ATCL,Atrusca,clavuloides
Western Spotted Orbweaver,NEOA,Neoscona,oaxacensis
Live Oak Erineum Mite,ACMA,Aceria,mackiei
Desert Tarantula,APIO,Aphonopelma,iodius
Red Admiral,VAAT,Vanessa,atalanta
Half-edged Wall Jumping Spider,MESE,Menemerus,semilimbatus
Vivid Dancer,ARVI,Argia,vivida
Gray Hairstreak,STME,Strymon,melinus
False Tarantula,CALO,Calisoga,longitarsis
Acmon Blue,ICAC,Icaricia,acmon
Cottony cushion scale parasitoid,CRIC,Cryptochetum,iceryae
Beautiful Mantidfly,LEPU,Leptomantispa,pulchella
Grey House Spider,BALO,Badumna,longinqua
Margined White,PIMA,Pieris,marginalis
Southern Green Stink Bug,NEVI,Nezara,viridula
Common Green Lacewings,CH#E,Chrysoperla,unknown
ash whitefly,SIPH,Siphoninus,phillyreae
Twenty-spotted Lady Beetle,PSVI,Psyllobora,vigintimaculata
American Sand Wasp,BEAM,Bembix,americana
Mournful Duskywing,ERTR,Erynnis,tristis
California Digger-cuckoo Bee,BRCA,Brachymelecta,californica
Western Leafcutter Bee,MEPE,Megachile,perihirta
Yellow-legged Mud-dauber Wasp,SCCA,Sceliphron,caementarium
Texas Striped Sweat Bee,AGTE,Agapostemon,texanus
Ground Yellowjackets,VE#E,Vespula,unknown
Ligated Furrow Bee,HALI,Halictus,ligatus
Greater Bee Fly,BOMA,Bombylius,major
Mourning Cloak,NYAN,Nymphalis,antiopa
Bathroom Moth Fly,CLAL,Clogmia,albipunctata
Beaked Twig Gall Wasp,BUPL,Burnettweldia,plumbella
West Coast Lady,VAAN,Vanessa,annabella
Emerin Stingless Bee,PLEM,Plebeia,emerina
Sara Orangetip,ANSA,Anthocharis,sara
California Tortoiseshell,NYCA,Nymphalis,californica
Senile Tiger Beetle,CISE,Cicindela,senilis
Spotted Tussock Moth,LOMA,Lophocampa,maculata
Western Rose Curculio,MEWI,Merhynchites,wickhami
Tansy Mustard Sweat Bee,LASI,Lasioglossum,sisymbrii
Six-spotted Orbweaver,ARDI,Araniella,displicata
Variable Checkerspot,EUCH,Euphydryas,chalcedona
Sanicle Leaf-miner,PHSA,Phytomyza,saniculae
Pipevine Swallowtail,BAPH,Battus,philenor
Coronis Fritillary,ARCO,Argynnis,coronis
Mexican Grass-carrying Wasp,ISME,Isodontia,mexicana
Sycamore Borer Moth,SYRE,Synanthedon,resplendens
Angulate and Roundshouldered Orbweavers,AR#E,Araneus,unknown
Pacific Ground Mantis,LIPA,Litaneutria,pacifica
Red Cone Gall Wasp,FEKI,Feron,kingi
Bluets,EN#E,Enallagma,unknown
Thirteen-spotted Lady Beetle,HITR,Hippodamia,tredecimpunctata
American Dainty,BACO,Baccha,cognata
Blue-eyed Darner,RHMU,Rhionaeschna,multicolor
California common scorpion,PASI,Paruroctonus,silvestrii
Cross Orbweaver,ARDI,Araneus,diadematus
Carolina Sphinx,MASE,Manduca,sexta
Fiery Skipper,HYPH,Hylephila,phyleus
Heather Lady Beetle,CHBI,Chilocorus,bipustulatus
Oak Winter Highflier,HYNU,Hydriomena,nubilofasciata
Western Blue Orchard Bee,OSLI,Osmia,lignaria
Three-striped Longhorn,ADTR,Adela,trigrapha
Prunus Miner Bee,ANPR,Andrena,prunorum
Sedgesitters,PL#E,Platycheirus,unknown
Painted Lady,VACA,Vanessa,cardui
California Mountain-Digger Bee,HADE,Habropoda,depressa
Globetails,SP#E,Sphaerophoria,unknown
Colorado Mason,OSCO,Osmia,coloradensis
California Gall Wasp,ANQU,Andricus,quercuscalifornicus
Yellow-haired Sun Fly,MYFL,Myathropa,florea
Cabbage bud gall midge,LORU,Lonicerae,russoi
Acacia Psyllid,ACUN,Acizzia,uncatoides
Brown-spotted Bush-cricket,TETE,Tessellana,tessellata
South African Mantis,MICA,Miomantis,caffra
Pasco Cellophane Bee,COCO,Colletes,consors
Exclamation Damsel,ZOEX,Zoniagrion,exclamationis
Western Tiger Swallowtail,PARU,Papilio,rutulus
Echo Azure,CEEC,Celastrina,echo
Spotted Woolcarder,ANMA,Anthidium,maculosum
Hidalgo Mason Wasp,EUHI,Euodynerus,hidalgo
California Rotund-Resin Bee,ANNO,Anthidiellum,notatum
Achemon Sphinx,EUAC,Eumorpha,achemon
Wide-striped Painted-Dark bee,STLA,Stelis,laticincta
Silver-tailed Petalcutter,MEMO,Megachile,montivaga
Great Golden Digger Wasp,SPIC,Sphex,ichneumoneus
American Dog Tick,DEVA,Dermacentor,variabilis
Common European Greenbottle Fly,LUSE,Lucilia,sericata
Dryope Hairstreak,SASY,Satyrium,sylvinus
Long-plumed Cellophane Bee,COFU,Colletes,fulgidus
Gray Bird Grasshopper,SCNI,Schistocerca,nitens
Volupial Mint Moth,PYVO,Pyrausta,volupialis
Urbane Digger Bee,ANUR,Anthophora,urbana
Blue-green Sharpshooter,GRAT,Graphocephala,atropunctata
Small Heliothodes Moth,HEDI,Heliothodes,diminutiva
Wool-bearing Gall Wasp,DRQU,Druon,quercuslanigerum
Willow Bead Gall Mite,ACTE,Aculus,tetanothrix
Flame Skimmer,LISA,Libellula,saturata
Ten-lined June Beetle,PODE,Polyphylla,decemlineata
Sunflower Chimney Bee,DIEN,Diadasia,enavata
Willow Rosette Gall Midge,RASA,Rabdophaga,salicisbrassicoides
Phacelia Plant Bug,TUCA,Tupiocoris,californicus
Convoluted Gall Wasp,ANCO,Andricus,confertus
Pink Bow-Tie Gall Wasp,FEIZ,Feron,izabellae
Kernel Flower Gall Wasp,CASE,Callirhytis,serricornis
Peppertree Psyllid,CASC,Calophya,schini
Woodland Skipper,OCSY,Ochlodes,sylvanoides
Buttonhook Leaf-beetle Jumping Spider,SAVI,Sassacus,vitis
Long-jawed Orbweavers,TE#E,Tetragnatha,unknown
Satyr Comma,POSA,Polygonia,satyrus
Wing-tapping Cicadas,PL#E,Platypedia,unknown
Ceanothus Silk Moth,HYEU,Hyalophora,euryalus
Two-horned Gall Wasp,DRDU,Dryocosmus,dubiosus
Miserable Mining Bee,ANMI,Andrena,miserabilis
Boxwood Gall Midge,MOFL,Monarthropalpus,flavus
Plum Finger Gall Mite,EREM,Eriophyes,emarginatae
Red-tailed Micro-Shortface,MIRU,Micralictoides,ruficaudus
Microseris Stem Gall Wasp,ANMI,Antistrophus,microseris
Proszynski's Jumping Spider,EVPR,Evarcha,proszynskii
Rural Skipper,OCAG,Ochlodes,agricola
Mossy Rose Gall Wasp,DIRO,Diplolepis,rosae
Umber Skipper,LOME,Lon,melane
swallow nest bug,OEVI,Oeciacus,vicarius
Manzanita Leafgall Aphid,TACO,Tamalia,coweni
Pale Swallowtail,PAEU,Papilio,eurymedon
Snatching Sand Wasps,HA#E,Harpactus,unknown
Spined Woodborer,TRSP,Trichocnemis,spiculatus
Spined Turban Gall Wasp,CYDO,Cynips,douglasii
Red-belted Bumble Bee,BORU,Bombus,rufocinctus
Wild Forget-me-not Moth,GNLA,Gnophaela,latipennis
Western Small Milkweed Bug,LYKA,Lygaeus,kalmii
Spined Stilt Bug,JAWI,Jalysus,wickhami
Golden Paper Wasp,POAU,Polistes,aurifer
Polyphemus Moth,ANPO,Antheraea,polyphemus
Oak Ribbed Casemaker,BUAL,Bucculatrix,albertiella
Crown Whitefly,ALCO,Aleuroplatus,coronata
Stanford's Whitefly,TEPE,Tetraleurodes,perileuca
Australian Eucalyptus Leafgall Wasp,OPMA,Ophelimus,maskelli
Davidson's Beetle,DADA,Dascillus,davidsoni
Crystalline Gall Wasp,FECR,Feron,crystallinum
Mylitta Crescent,PHMY,Phyciodes,mylitta
Lady Beetle Parasitoid Wasp,DICO,Dinocampus,coccinellae
Pine Ladybird,EXQU,Exochomus,quadripustulatus
Almond and plum bud gall mite,ACPH,Acalitus,phloeocoptes
Spotted Gum Lerp Psyllid,EUMA,Eucalyptolyma,maideni
Corymbia psyllid,CRTR,Cryptoneossa,triangula
Western Brown Elfin,CAAU,Callophrys,augustinus
Lupine Ghost Moth,PHCA,Phymatopus,californicus
Margined Calligrapher,TOMA,Toxomerus,marginatus
Oak Treehopper,PLVI,Platycotis,vittata
Syzygium Leaf Psyllid,TRAD,Trioza,adventicia
Sandhill Skipper,POSA,Polites,sabuleti
Diamond Spottail,FAMI,Fazia,micrura
Cardinal Meadowhawk,SYIL,Sympetrum,illotum
Narcissus Bulb Fly,MEEQ,Merodon,equestris
Snowberry Sawfly,BLSP,Blennogeneris,spissipes
California Turret Spider,ATRI,Atypoides,riversi
Brilliant Sunspur,AETR,Aetole,tripunctella
Citrus Bud Mite,ACSH,Aceria,sheldoni
Van Dyke's Bumble Bee,BOVA,Bombus,vandykei
Checkered White,POPR,Pontia,protodice
Eleven-spotted Lady Beetle,COUN,Coccinella,undecimpunctata
Green Lynx Spider,PEVI,Peucetia,viridans
Greater Anglewing,MIRH,Microcentrum,rhombifolium
Knotting Gall,CHBE,Chirosia,betuleti
Clasping Twig Gall Wasp,DIPR,Disholcaspis,prehensa
American Five-spotted Lady Beetle,HIQU,Hippodamia,quinquesignata
Live Oak Petiole Gall Wasp,MEFL,Melikaiella,flora
Bull-headed sac spider,TRPA,Trachelas,pacificus
Alfalfa Weevil,HYPO,Hypera,postica
Western Eyed Sphinx,SMOP,Smerinthus,ophthalmica
White-bowed Smoothwing,SCAF,Scaeva,affinis
Red Gum Lerp Psyllid,GLBR,Glycaspis,brimblecombei
Honeydew Gall Wasp,DIEL,Disholcaspis,eldoradensis
Four-lined Silverfish,CTLI,Ctenolepisma,lineatum
Bicolored Carpenter Ant,CAVI,Camponotus,vicinus
Pinched Leaf Gall Wasp,FEBA,Feron,bakkeri
Common Ringlet,COCA,Coenonympha,california
Mission Blue,ICIC,Icaricia,icarioides
Wingless Hangingfly,APAP,Apterobittacus,apterus
Cottonwood Catkingall Mite,ERNE,Eriophyes,neoessigi
California Hairstreak,SACA,Satyrium,californica
Poplar Gall Aphid,PEBU,Pemphigus,bursarius
Wall Spider,OENA,Oecobius,navus
California Sister,ADCA,Adelpha,californica
Crotch's Bumble Bee,BOCR,Bombus,crotchii
Plate Gall Wasp,FEPA,Feron,pattersonae
North American Jerusalem Crickets,AM#E,Ammopelmatus,unknown
Common Checkered-Skipper,BUCO,Burnsius,communis
Brown Marmorated Stink Bug,HAHA,Halyomorpha,halys
Minute Pirate Bug,ANUN,Anthocoris,unknown
Common Lace Bug,COUN,Corythucha,unknown
Large Milkweed Bug,ONFA,Oncopeltus,fasciatus
Red Webspinner,CHRU,Chelicerca,rubra
Bicolored Webspinner,HASO,Haploembia,solieri
California Timema,TICA,Timema,californicum
Western Short-horned Walking Stick,PAHE,Parabacillus,hesperus
Common Whirligig Beetle,GYUN,Gyrinus,unknown
Pink Glowworm,MIAN,Microphotus,angustus
Brown Leatherwing,PACO,Pacificanthia,consors
Drugstore Beetle,STPA,Stegobium,paniceum
Pubescent Fungus Biting Beetle,DAPU,Dacne,pubescens
Flour Beetle,TRCA,Tribolium,castaneum
Vedalia Beetle,ROBI,Rodolia,cardinalis
Green Dock Beetle,GACY,Gastrophysa,cyanea
Golden Tortoise Beetle,CHSE,Charidotella,sexpunctata
Nut and Acorn Weevil,CUUN,Curculio,unknown
Giant Crane Fly,HOHE,Holorusia,hespera
Common Crane Fly,TIOL,Tipula,oleracea
Dark-winged Fungus Gnat,BRUN,Bradysia,unknown
Common Midge,CHUN,Chironomus,unknown
Flat-Backed Kelp Fly,COVA,Coelopa,vanduzeei
Green Bottle Fly,LUSE,Lucilia,sericata
European Blue Bottle Fly,CAVI,Calliphora,vicina
Common Flesh Fly,SAUN,Sarcophaga,unknown
Common House Fly,MUPE,Musca,domestica
