Common Name,Genus,Species,Alpha Code
Alameda Whipsnake,Masticophis,lateralis,MALA
Aquatic Garter Snake,Thamnophis,atratus,THAT
Blainville's Horned Lizard,Phrynosoma,blainvillii,PHBL
California Alligator Lizard,Elgaria,multicarinata,ELMU
California King Snake,Lampropeltis,californiae,LACA
California Mountain Kingsnake,Lampropeltis,zonata,LAZO
California Nightsnake,Hypsiglena,ochrorhynchus,HYOC
California Red-sided Garter Snake,Thamnophis,sirtalis,THSI
California Striped Racer,Masticophis,lateralis,MALA
California Whiptail,Aspidoscelis,tigris,ASTI
Central American Milksnake,Lampropeltis,abnorma,LAAB
Central Bearded Dragon,Pogona,vitticeps,POVI
Coast Garter Snake,Thamnophis,elegans,THEL
Coast Night Snake,Hypsiglena,ochrorhynchus,HYOC
Coast Range Fence Lizard,Sceloporus,occidentalis,SCOC
Common Garter Snake,Thamnophis,sirtalis,THSI
Common Side-blotched Lizard,Uta,stansburiana,UTST
Common Snapping Turtle,Chelydra,serpentina,CHSE
Diablo Range Garter Snake,Thamnophis,atratus,THAT
Eastern Painted Turtle,Chrysemys,picta,CHPI
False Map Turtle,Graptemys,pseudogeographica,GRPS
Florida Redbelly Turtle,Pseudemys,nelsoni,PSNE
Forest Sharp-tailed Snake,Contia,longicaudae,COLO
Gopher Snake,Pituophis,catenifer,PICA
Leatherback Sea Turtle,Dermochelys,coriacea,DECO
Mediterranean Gecko,Hemidactylus,turcicus,HETU
None,None,none,NONE
North American Racer,Coluber,constrictor,COCO
Northern Alligator Lizard,Elgaria,coerulea,ELCO
Northern Pacific Rattlesnake,Crotalus,oreganus,CROR
Northern Rubber Boa,Charina,bottae,CHBO
Northwestern Pond Turtle,Actinemys,marmorata,ACMA
Olive Ridley Sea Turtle,Lepidochelys,olivacea,LEOL
Ouachita Map Turtle,Graptemys,ouachitensis,GROU
Pacific Gopher Snake,Pituophis,catenifer,PICA
Pacific Ringneck Snake,Diadophis,punctatus,DIPU
Painted Turtle,Chrysemys,picta,CHPI
Pond Slider,Trachemys,scripta,TRSC
Red-eared Slider,Trachemys,scripta,TRSC
ring-necked snake,Diadophis,punctatus,DIPU
River Cooter,Pseudemys,concinna,PSCO
San Francisco Alligator Lizard,Elgaria,coerulea,ELCO
San Francisco Garter Snake,Thamnophis,sirtalis,THSI
Santa Cruz Aquatic Garter Snake,Thamnophis,atratus,THAT
Sharp-tailed Snake,Contia,tenuis,COTE
Sharp-tailed Snakes,Contia,unknown,COUN
Skilton's Skink,Plestiodon,skiltonianus,PLSK
Southern Alligator Lizard,Elgaria,multicarinata,ELMU
Southwestern Pond Turtle,Actinemys,marmorata,ACMA
Spiny Lizards,Sceloporus,unknown,SCUN
Spiny Softshell,Apalone,spinifera,APSP
Striped Racer,Masticophis,lateralis,MALA
Texas Spiny Softshell,Apalone,spinifera,APSP
Three-toed Box Turtle,Terrapene,carolina,TECA
Veiled Chameleon,Chamaeleo,calyptratus,CHCA
Western Alligator Lizards,Elgaria,unknown,ELUN
Western Black-headed Snake,Tantilla,planiceps,TAPL
Western Fence Lizard,Sceloporus,occidentalis,SCOC
Western Painted Turtle,Chrysemys,picta,CHPI
Western Pond Turtle,Actinemys,marmorata,ACMA
Western Rattlesnake,Crotalus,oreganus,CROR
Western Side-blotched Lizard,Uta,stansburiana,UTST
Western Skink,Plestiodon,skiltonianus,PLSK
Western Terrestrial Garter Snake,Thamnophis,elegans,THEL
Western Whiptail,Aspidoscelis,tigris,ASTI
Western Yellow-bellied Racer,Coluber,constrictor,COCO
Yellow-backed Spiny Lizard,Sceloporus,uniformis,SCUN
Yellow-bellied Slider,Trachemys,scripta,TRSC
Yellow-throated Plated Lizard,Gerrhosaurus,flavigularis,GEFL